# d=-12 u_star=-98.114729439 m=-1.03363159027 C=1.06839426441
# s  F2_minus_ustar
-1.65 -1.83457473903
-1.64835 -1.83253129787
-1.6467 -1.83048890795
-1.64505 -1.82844756691
-1.6434 -1.82640727227
-1.64175 -1.8243680216
-1.6401 -1.82232979468
-1.63845 -1.82029254489
-1.6368 -1.81825639197
-1.63515 -1.81622124746
-1.6335 -1.81418719021
-1.63185 -1.81215425832
-1.6302 -1.81012244778
-1.62855 -1.80810668698
-1.6269 -1.80607478761
-1.62525 -1.80404392556
-1.6236 -1.80201409838
-1.62195 -1.79998530351
-1.6203 -1.79795753854
-1.61865 -1.79593077407
-1.617 -1.79390502403
-1.61535 -1.79188028812
-1.6137 -1.7898565901
-1.61205 -1.78783392759
-1.6104 -1.78581229803
-1.60875 -1.78379169906
-1.6071 -1.78177212802
-1.60545 -1.77975358261
-1.6038 -1.77773606026
-1.60215 -1.77571955827
-1.6005 -1.77370407446
-1.59885 -1.77167613786
-1.5972 -1.76966020426
-1.59555 -1.76764520824
-1.5939 -1.76563114648
-1.59225 -1.76361801642
-1.5906 -1.76160581507
-1.58895 -1.75959453952
-1.5873 -1.75758418662
-1.58565 -1.75557475342
-1.584 -1.75361546413
-1.58235 -1.75147370627
-1.5807 -1.74946604103
-1.57905 -1.74745935383
-1.5774 -1.74545364286
-1.57575 -1.74344890675
-1.5741 -1.74144514389
-1.57245 -1.73944235263
-1.5708 -1.73744794801
-1.56915 -1.73546314385
-1.5675 -1.73347936331
-1.56585 -1.7314966043
-1.5642 -1.7295148659
-1.56255 -1.72753414611
-1.5609 -1.72554815001
-1.55925 -1.72355070471
-1.5576 -1.72155418064
-1.55595 -1.71955828809
-1.5543 -1.7175633777
-1.55265 -1.71556944796
-1.551 -1.71357649773
-1.54935 -1.71158452548
-1.5477 -1.70959352982
-1.54605 -1.70760350972
-1.5444 -1.70561446347
-1.54275 -1.70362638997
-1.5411 -1.70163928796
-1.53945 -1.69965315569
-1.5378 -1.69770308062
-1.53615 -1.69571685231
-1.5345 -1.69373151414
-1.53285 -1.69174637719
-1.5312 -1.68976209924
-1.52955 -1.68777875943
-1.5279 -1.68579635607
-1.52625 -1.68381488765
-1.5246 -1.68183435222
-1.52295 -1.67985475264
-1.5213 -1.67787610141
-1.51965 -1.67589837692
-1.518 -1.67392153873
-1.51635 -1.6719456322
-1.5147 -1.66997071031
-1.51305 -1.66799672122
-1.5114 -1.6660236647
-1.50975 -1.66405154608
-1.5081 -1.66208036371
-1.50645 -1.66011402891
-1.5048 -1.65814254948
-1.50315 -1.65617192651
-1.5015 -1.65420215912
-1.49985 -1.65223325164
-1.4982 -1.65026520215
-1.49655 -1.64829800878
-1.4949 -1.64633166968
-1.49325 -1.64436618293
-1.4916 -1.6424015467
-1.48995 -1.6404377591
-1.4883 -1.63847481822
-1.48665 -1.63651272223
-1.485 -1.63455146923
-1.48335 -1.63259105732
-1.4817 -1.63063148464
-1.48005 -1.62867274925
-1.4784 -1.62671484934
-1.47675 -1.62475794446
-1.4751 -1.62280195968
-1.47345 -1.62084699681
-1.4718 -1.61889294532
-1.47015 -1.61693980457
-1.4685 -1.61498757364
-1.46685 -1.6130362519
-1.4652 -1.61108583848
-1.46355 -1.6091363327
-1.4619 -1.60718773383
-1.46025 -1.60524004107
-1.4586 -1.60329323964
-1.45695 -1.60134730359
-1.4553 -1.59940234086
-1.45365 -1.59739467907
-1.452 -1.59542939355
-1.45035 -1.59346494643
-1.4487 -1.5915013366
-1.44705 -1.58953856357
-1.4454 -1.58757662614
-1.44375 -1.58561552365
-1.4421 -1.58371028764
-1.44045 -1.58174907426
-1.4388 -1.57978861805
-1.43715 -1.57782891708
