# d=-12.2 u_star=-98.0121900131 m=-1.06901579073 C=1.14279476084
# s  F2_minus_ustar
-1.65 -1.95175246972
-1.64835 -1.94956351106
-1.6467 -1.94737574775
-1.64505 -1.94518917614
-1.6434 -1.94300379689
-1.64175 -1.94080708553
-1.6401 -1.9386266642
-1.63845 -1.93644746611
-1.6368 -1.93426949154
-1.63515 -1.93209273738
-1.6335 -1.92991720039
-1.63185 -1.92774287733
-1.6302 -1.92556976495
-1.62855 -1.92339777857
-1.6269 -1.92122703187
-1.62525 -1.91905757087
-1.6236 -1.91688940739
-1.62195 -1.91472253854
-1.6203 -1.91255696139
-1.61865 -1.91039267302
-1.617 -1.90822967055
-1.61535 -1.90606795102
-1.6137 -1.90389649853
-1.61205 -1.90173445397
-1.6104 -1.89957359611
-1.60875 -1.89741392116
-1.6071 -1.89525538228
-1.60545 -1.89309805326
-1.6038 -1.8909419832
-1.60215 -1.88878711121
-1.6005 -1.88663343401
-1.59885 -1.88448094831
-1.5972 -1.88232965078
-1.59555 -1.88017953808
-1.5939 -1.87803060701
-1.59225 -1.87588285422
-1.5906 -1.87370692439
-1.58895 -1.87155865659
-1.5873 -1.8694114749
-1.58565 -1.86726537587
-1.584 -1.86512035528
-1.58235 -1.86297640959
-1.5807 -1.86083353475
-1.57905 -1.85869172704
-1.5774 -1.85659967782
-1.57575 -1.85432652684
-1.5741 -1.85218685037
-1.57245 -1.85004830442
-1.5708 -1.84791088747
-1.56915 -1.84577459681
-1.5675 -1.84363943046
-1.56585 -1.84149737384
-1.5642 -1.83935742645
-1.56255 -1.83722330725
-1.5609 -1.83509030163
-1.55925 -1.83295840818
-1.5576 -1.83082762356
-1.55595 -1.82869794641
-1.5543 -1.82656937433
-1.55265 -1.82444190484
-1.551 -1.82231553617
-1.54935 -1.82019026595
-1.5477 -1.81806609179
-1.54605 -1.81594301188
-1.5444 -1.8138210238
-1.54275 -1.81170012547
-1.5411 -1.80958031441
-1.53945 -1.80746158903
-1.5378 -1.80534386457
-1.53615 -1.80322720604
-1.5345 -1.80111166344
-1.53285 -1.79899723449
-1.5312 -1.7968996043
-1.52955 -1.7947844825
-1.5279 -1.79267010674
-1.52625 -1.79055681391
-1.5246 -1.78844460146
-1.52295 -1.78633346736
-1.5213 -1.7842233835
-1.51965 -1.78211438674
-1.518 -1.78000649574
-1.51635 -1.77789969972
-1.5147 -1.77579399691
-1.51305 -1.77368941914
-1.5114 -1.77158595146
-1.50975 -1.76948356482
