# Rulkov type-I theoretical characteristic relation, c=0.01
# RPD: 3-branch, alphas=[np.float64(-0.04262966796948025), np.float64(-0.17317491365610388), np.float64(-0.31959829253998767)]
# epsilon,mean_l_num,mean_l_th
1.67017008e-05,1177.6717,655.1429
2.05406759e-05,885.0860,566.9008
2.52620599e-05,699.7200,485.1988
3.10686792e-05,556.0367,417.6704
3.82099810e-05,450.8296,357.3579
4.69927492e-05,369.1191,303.0566
5.77942834e-05,298.9510,256.6306
7.10786080e-05,246.9012,216.3319
8.74164056e-05,202.4262,181.5148
1.07509533e-04,166.2258,151.7251
1.32221173e-04,136.2188,126.2552
1.62612916e-04,111.7616,104.8531
1.99990363e-04,91.8029,86.7477
2.45959215e-04,75.0874,71.5792
3.02494254e-04,61.3282,58.9449
3.72024173e-04,50.3223,48.4183
4.57535916e-04,40.9671,39.7016
5.62702988e-04,33.4286,32.5204
6.92043274e-04,27.3015,26.5999
8.51113116e-04,22.2399,21.7361
1.04674601e-03,18.1468,17.7459
1.28734617e-03,14.7394,14.4763
1.58324956e-03,11.8339,11.8034
1.94716792e-03,9.7508,9.6187
2.39473486e-03,7.8807,7.8353
2.94517746e-03,6.3667,6.3804
3.62214222e-03,5.2137,5.1943
4.45471094e-03,4.3306,4.2276
5.47865004e-03,3.5838,3.4403
6.73794700e-03,2.8546,2.7991
