# Rulkov type-I theoretical characteristic relation, c=0.10
# RPD: 1-branch, alphas=[np.float64(-0.5214090343088116)]
# epsilon,mean_l_num,mean_l_th
1.67017008e-05,1112.2830,685.2549
2.05406759e-05,863.1195,618.4357
2.52620599e-05,733.6492,555.1446
3.10686792e-05,610.4842,499.6618
3.82099810e-05,524.8316,446.0477
4.69927492e-05,465.7734,399.9694
5.77942834e-05,392.7292,358.0837
7.10786080e-05,348.6792,319.3873
8.74164056e-05,307.3887,285.1629
1.07509533e-04,270.2198,255.6020
1.32221173e-04,241.3126,227.1016
1.62612916e-04,211.2888,202.8094
1.99990363e-04,186.5353,180.2056
2.45959215e-04,164.6286,160.1763
3.02494254e-04,145.8954,141.8270
3.72024173e-04,131.3251,125.7549
4.57535916e-04,113.0353,111.0148
5.62702988e-04,99.3473,97.6500
6.92043274e-04,87.1016,85.7425
8.51113116e-04,76.1785,75.1809
1.04674601e-03,66.6661,65.5950
1.28734617e-03,58.8198,57.0896
1.58324956e-03,49.0647,49.5112
1.94716792e-03,43.2261,42.7932
2.39473486e-03,36.6262,36.8205
2.94517746e-03,31.3689,31.5619
3.62214222e-03,27.4341,26.9266
4.45471094e-03,23.3822,22.8756
5.47865004e-03,19.8417,19.3583
6.73794700e-03,16.3383,16.3082
