c,N,x_s,ac2,eps,width_ratio,P1,m_single,R2_single,m1,m2,jump,P1_model
0.2,200000,-0.1767214720152749,0.022978527984725095,0.0003,0.05819631996181274,0.0,0.3240209296631748,0.9998471279220417,nan,0.3240209296631748,inf,0.0
0.15,200000,-0.13677457800859213,0.012925421991407863,0.0003,0.044084739971359546,0.0,0.3258217205549808,0.9998707476085316,nan,0.3258217205549808,inf,0.0
0.1,200000,-0.09395536800381873,0.005744631996181274,0.0003,0.030223159980906366,0.12973,0.3281063348143904,0.9999039120974866,0.33456635891423925,0.32739483920856416,1.8617754357519256,0.13580635522348636
0.07,200000,-0.06688513032187118,0.002814869678128824,0.0003,0.022249069129491598,0.4326,0.2386752485066176,0.9898380198781278,0.5681768448514495,0.256398091224448,22.766994633273704,0.43473103499653015
0.05,200000,-0.04826384200095468,0.0014361579990453184,0.0003,0.017361579990453183,0.584655,0.1740589470295886,0.9785764954942627,0.4472997664380513,0.19765258098091823,52.263759086189,0.5842822445961626
0.035,200000,-0.033996282580467795,0.000703717419532206,0.0003,0.014338820279031512,0.69772,0.12557815312272783,0.9703900040265873,0.5131082568315642,0.14646878836134078,132.7992766726944,0.6975972065814721
0.025,200000,-0.02434096050023867,0.0003590394997613296,0.0003,0.01318078999522659,0.776795,0.09218411205776345,0.9639125556891004,0.5409101466903118,0.10909578619129551,254.66763848396505,0.7769628172186638
0.02,200000,-0.01947021472015275,0.00022978527984725093,0.0003,0.013244631996181273,0.8192,0.07520649641772485,0.9610252743762956,0.46876912633234913,0.08962710093895083,267.52517985611513,0.8184051773396347
0.015,200000,-0.01457074578008592,0.00012925421991407865,0.0003,0.014308473997135954,0.86229,0.0591010405841207,0.9482914089274567,0.5252892088198408,0.06903400196512148,460.68811881188117,0.8613170992575734
0.01,200000,-0.009642553680038187,5.744631996181273e-05,0.0003,0.017872315998090634,0.90617,0.04340404121195919,0.9001619152128912,0.4665824522528754,0.04742096370197635,522.9079754601228,0.9059465925651468
0.007,200000,-0.006671851303218712,2.814869678128824e-05,0.0003,0.023439192627234873,0.934355,0.03449991247115075,0.7416070626634146,0.4859144603378058,0.033523559707882254,576.1059602649007,0.9336625703604395
0.005,200000,-0.004685638420009547,1.4361579990453183e-05,0.0003,0.03143615799904532,0.95305,0.03211805175355051,0.5120369381891559,0.4501797070754053,0.024367086478338698,514.5153374233129,0.9525708502271919
