# Rulkov 1D scaling v2: alpha=4.8 gamma_c=-2.93140025830667 fp=-1.76545847044211 c=0.01 n_ics=20 target_eps=500
# log10_eps,epsilon,gamma,mean_l,max_l,std_l,N_episodes,a2,a1,a0
-10.0000,1.0000000000e-10,-2.931400258207,380846.3868,414147.0000,112583.0795,31884,5.7445230914e-01,9.9999999985e-01,9.9999078244e-11
-9.8276,1.4873521073e-10,-2.931400258158,333502.0979,339522.0000,44432.8825,29869,5.7446487944e-01,1.0000000000e+00,1.4873498959e-10
-9.6552,2.2122162911e-10,-2.931400258085,269354.2870,278332.0000,49115.7963,30318,5.7454777942e-01,9.9999999209e-01,2.2141397498e-10
-9.4828,3.2903445623e-10,-2.931400257978,224028.0514,228159.0000,30374.6902,29873,5.7444769486e-01,9.9999999971e-01,3.2903271302e-10
-9.3103,4.8939009185e-10,-2.931400257817,176799.4482,187019.0000,42133.5597,31036,5.7451604289e-01,9.9999999683e-01,4.8944108451e-10
-9.1379,7.2789538440e-10,-2.931400257579,147254.5442,153285.0000,29710.7881,30525,5.7445403090e-01,9.9999999996e-01,7.2789563204e-10
-8.9655,1.0826367339e-09,-2.931400257224,118238.4644,125625.0000,28780.4023,31180,5.9236086188e-01,1.0006041640e+00,-3.3540233580e-08
-8.7931,1.6102620276e-09,-2.931400256696,98323.0102,102945.0000,21009.9601,30721,5.8748136296e-01,1.0010232893e+00,-4.6970524227e-08
-8.6207,2.3950266200e-09,-2.931400255912,79972.7356,84348.0000,18609.6730,30944,5.8743577110e-01,1.0011379054e+00,-2.1374162572e-08
-8.4483,3.5622478903e-09,-2.931400254744,66011.4140,69100.0000,13989.9753,30704,5.7452937869e-01,1.0000000002e+00,3.5620242113e-09
-8.2759,5.2983169063e-09,-2.931400253008,53442.7465,56597.0000,12870.1993,31069,5.9690343917e-01,1.0002332493e+00,-7.2448341212e-08
-8.1034,7.8804628157e-09,-2.931400250426,44349.0394,46344.0000,9237.5581,30652,5.8950372189e-01,1.0009672203e+00,-1.2780465885e-07
-7.9310,1.1721022975e-08,-2.931400246586,35507.6042,37938.0000,9075.0300,31335,6.1302268044e-01,9.9898453739e-01,-3.9782028011e-08
-7.7586,1.7433288222e-08,-2.931400240873,29350.1250,31045.0000,6922.3478,31028,6.0686458764e-01,9.9942814885e-01,-6.5284530924e-08
-7.5862,2.5929437974e-08,-2.931400232377,24163.7782,25393.0000,5324.3720,30826,5.9072000434e-01,1.0007484144e+00,-2.0008304160e-07
-7.4138,3.8566204212e-08,-2.931400219740,19782.9589,20759.0000,4266.8645,30783,5.9077861746e-01,1.0009023062e+00,-3.1361555661e-07
-7.2414,5.7361525104e-08,-2.931400200945,16125.5136,16959.0000,3550.6785,30857,5.8906357299e-01,1.0008370288e+00,-1.6679222045e-07
-7.0690,8.5316785242e-08,-2.931400172990,13190.8341,13843.0000,2825.0176,30777,5.9319760798e-01,1.0005247712e+00,-2.8578641319e-07
-6.8966,1.2689610032e-07,-2.931400131411,10756.4624,11288.0000,2284.9562,30784,5.9621346776e-01,1.0004547601e+00,-2.2854713243e-07
-6.7241,1.8873918221e-07,-2.931400069567,8795.5227,9194.0000,1782.2306,30660,5.9042725355e-01,1.0007503640e+00,-2.6949908855e-07
-6.5517,2.8072162039e-07,-2.931399977585,7151.0311,7476.0000,1436.6538,30672,5.9079021861e-01,1.0007714036e+00,-4.5084734690e-07
-6.3793,4.1753189366e-07,-2.931399840775,5784.7026,6068.0000,1199.7496,30767,5.8793533840e-01,1.0009577708e+00,-1.9961825811e-07
-6.2069,6.2101694189e-07,-2.931399637290,4676.6077,4913.0000,977.6922,30817,5.8971507568e-01,1.0008215401e+00,-2.1876279570e-07
-6.0345,9.2367085719e-07,-2.931399334636,3771.0030,3967.0000,794.6892,30849,5.9022177077e-01,1.0008668562e+00,1.0278248178e-07
-5.8621,1.3738237959e-06,-2.931398884483,3050.8510,3191.0000,593.7156,30677,5.9043455123e-01,1.0007677750e+00,3.0833099867e-07
-5.6897,2.0433597179e-06,-2.931398214947,2443.8070,2556.0000,470.9381,30682,5.9054944787e-01,1.0008673568e+00,4.7448860368e-07
-5.5172,3.0391953823e-06,-2.931397219111,1946.2141,2036.0000,369.6910,30670,5.9250859377e-01,1.0006687051e+00,1.2970338051e-06
-5.3448,4.5203536564e-06,-2.931395737953,1534.9255,1611.0000,300.4373,30755,5.9023415435e-01,1.0008729487e+00,2.1728742575e-06
-5.1724,6.7233575365e-06,-2.931393534949,1203.3469,1264.0000,234.2834,30763,5.9093895333e-01,1.0007868486e+00,4.2182948391e-06
-5.0000,1.0000000000e-05,-2.931390258307,936.3816,981.0000,175.1273,31948,5.9132905722e-01,1.0008493621e+00,6.4315930961e-06
