# Rulkov 1D scaling v2: alpha=4.8 gamma_c=-2.93140025830667 fp=-1.76545847044211 c=0.1 n_ics=20 target_eps=500
# log10_eps,epsilon,gamma,mean_l,max_l,std_l,N_episodes,a2,a1,a0
-10.0000,1.0000000000e-10,-2.931400258207,279798.3391,414460.0000,194060.8537,43432,5.7445230914e-01,9.9999999985e-01,9.9999078244e-11
-9.8276,1.4873521073e-10,-2.931400258158,262582.3545,339835.0000,142307.8774,37970,5.7446487944e-01,1.0000000000e+00,1.4873498959e-10
-9.6552,2.2122162911e-10,-2.931400258085,225737.6163,278645.0000,109222.0623,36215,5.7454777942e-01,9.9999999209e-01,2.2141397498e-10
-9.4828,3.2903445623e-10,-2.931400257978,172348.3875,228472.0000,98311.7313,38882,5.7444769486e-01,9.9999999971e-01,3.2903271302e-10
-9.3103,4.8939009185e-10,-2.931400257817,140091.1423,187331.0000,81164.0371,39233,5.7451604289e-01,9.9999999683e-01,4.8944108451e-10
-9.1379,7.2789538440e-10,-2.931400257579,108629.7280,153598.0000,69834.5369,41461,5.7445403090e-01,9.9999999996e-01,7.2789563204e-10
-8.9655,1.0826367339e-09,-2.931400257224,96282.8102,125938.0000,53050.0911,38382,5.9236086188e-01,1.0006041640e+00,-3.3540233580e-08
-8.7931,1.6102620276e-09,-2.931400256696,75937.4442,103258.0000,45405.7270,39897,5.8748136296e-01,1.0010232893e+00,-4.6970524227e-08
-8.6207,2.3950266200e-09,-2.931400255912,61054.9679,84661.0000,37893.6869,40679,5.8743577110e-01,1.0011379054e+00,-2.1374162572e-08
-8.4483,3.5622478903e-09,-2.931400254744,48004.2258,69413.0000,31930.6602,42409,5.7452937869e-01,1.0000000002e+00,3.5620242113e-09
-8.2759,5.2983169063e-09,-2.931400253008,40670.9622,56909.0000,25621.7990,41051,5.9690343917e-01,1.0002332493e+00,-7.2448341212e-08
-8.1034,7.8804628157e-09,-2.931400250426,32657.6414,46657.0000,21297.5753,41904,5.8950372189e-01,1.0009672203e+00,-1.2780465885e-07
-7.9310,1.1721022975e-08,-2.931400246586,27471.8465,38251.0000,17085.2830,40834,6.1302268044e-01,9.9898453739e-01,-3.9782028011e-08
-7.7586,1.7433288222e-08,-2.931400240873,22135.8917,31358.0000,14207.4056,41555,6.0686458764e-01,9.9942814885e-01,-6.5284530924e-08
-7.5862,2.5929437974e-08,-2.931400232377,18388.4921,25706.0000,11523.2945,41000,5.9072000434e-01,1.0007484144e+00,-2.0008304160e-07
-7.4138,3.8566204212e-08,-2.931400219740,15068.0275,21072.0000,9435.6470,41016,5.9077861746e-01,1.0009023062e+00,-3.1361555661e-07
-7.2414,5.7361525104e-08,-2.931400200945,12397.9166,17272.0000,7699.7180,40866,5.8906357299e-01,1.0008370288e+00,-1.6679222045e-07
-7.0690,8.5316785242e-08,-2.931400172990,10097.2072,14156.0000,6332.4116,41102,5.9319760798e-01,1.0005247712e+00,-2.8578641319e-07
-6.8966,1.2689610032e-07,-2.931400131411,8248.5209,11601.0000,5190.6487,41239,5.9621346776e-01,1.0004547601e+00,-2.2854713243e-07
-6.7241,1.8873918221e-07,-2.931400069567,6807.0433,9506.0000,4225.7479,40941,5.9042725355e-01,1.0007503640e+00,-2.6949908855e-07
-6.5517,2.8072162039e-07,-2.931399977585,5640.8160,7788.0000,3421.0468,40487,5.9079021861e-01,1.0007714036e+00,-4.5084734690e-07
-6.3793,4.1753189366e-07,-2.931399840775,4561.2316,6380.0000,2821.5182,41002,5.8793533840e-01,1.0009577708e+00,-1.9961825811e-07
-6.2069,6.2101694189e-07,-2.931399637290,3739.7832,5225.0000,2299.5240,40948,5.8971507568e-01,1.0008215401e+00,-2.1876279570e-07
-6.0345,9.2367085719e-07,-2.931399334636,3043.9119,4278.0000,1884.7793,41179,5.9022177077e-01,1.0008668562e+00,1.0278248178e-07
-5.8621,1.3738237959e-06,-2.931398884483,2477.0517,3502.0000,1543.5039,41400,5.9043455123e-01,1.0007677750e+00,3.0833099867e-07
-5.6897,2.0433597179e-06,-2.931398214947,2061.1727,2865.0000,1239.9565,40713,5.9054944787e-01,1.0008673568e+00,4.7448860368e-07
-5.5172,3.0391953823e-06,-2.931397219111,1656.3882,2343.0000,1021.7450,41392,5.9250859377e-01,1.0006687051e+00,1.2970338051e-06
-5.3448,4.5203536564e-06,-2.931395737953,1355.3229,1915.0000,828.6258,41325,5.9023415435e-01,1.0008729487e+00,2.1728742575e-06
-5.1724,6.7233575365e-06,-2.931393534949,1102.8632,1564.0000,673.1811,41456,5.9093895333e-01,1.0007868486e+00,4.2182948391e-06
-5.0000,1.0000000000e-05,-2.931390258307,904.9834,1276.0000,541.3691,42825,5.9132905722e-01,1.0008493621e+00,6.4315930961e-06
