d,eps_csv,eps_local,A,step2_d,mean_l_sim,mean_l_th,ratio,w1_th,w3_th
-11.816000,1.000000e-03,1.830345e-04,0.017066,-11.814600,37.8903,31.3668,1.2080,0.5545,0.4370
-11.816292,1.291550e-03,2.663809e-04,0.017075,-11.814600,34.3808,29.4651,1.1668,0.5545,0.4370
-11.816668,1.668100e-03,3.740266e-04,0.017086,-11.814600,38.4285,27.9764,1.3736,0.5545,0.4370
-11.817154,2.154430e-03,5.130555e-04,0.017101,-11.814600,36.1324,26.7404,1.3512,0.5545,0.4370
-11.817783,2.782560e-03,6.926213e-04,0.017120,-11.820000,35.5725,37.1611,0.9573,0.5540,0.4167
-11.818594,3.593810e-03,9.245362e-04,0.017144,-11.820000,34.1587,34.4297,0.9921,0.5540,0.4167
-11.819642,4.641590e-03,1.224069e-03,0.017176,-11.820000,34.1832,32.0290,1.0673,0.5540,0.4167
-11.820995,5.994840e-03,1.610927e-03,0.017217,-11.820000,36.3537,29.8671,1.2172,0.5540,0.4167
-11.822743,7.742640e-03,2.110577e-03,0.017270,-11.820000,31.0845,27.8737,1.1152,0.5540,0.4167
-11.825000,1.000000e-02,2.755897e-03,0.017338,-11.820000,32.5713,25.9933,1.2531,0.5540,0.4167
-11.826708,1.170780e-02,3.243619e-03,0.017389,-11.830000,30.7680,26.6872,1.1529,0.5199,0.4640
-11.828707,1.370726e-02,3.814634e-03,0.017449,-11.830000,30.6247,25.6489,1.1940,0.5199,0.4640
-11.831048,1.604818e-02,4.479367e-03,0.017523,-11.830000,28.6940,24.5906,1.1669,0.5199,0.4640
-11.833789,1.878889e-02,5.252141e-03,0.017613,-11.830000,28.8718,23.5095,1.2281,0.5199,0.4640
-11.836998,2.199765e-02,6.156887e-03,0.017719,-11.830000,27.7372,22.4026,1.2381,0.5199,0.4640
-11.840754,2.575441e-02,7.213825e-03,0.017844,-11.830000,27.1674,21.2727,1.2771,0.5199,0.4640
-11.845153,3.015274e-02,8.440437e-03,0.017993,-11.858440,24.8389,15.7034,1.5818,0.5521,0.4318
-11.850302,3.530223e-02,9.879064e-03,0.018167,-11.858440,24.1818,14.8611,1.6272,0.5521,0.4318
-11.856331,4.133114e-02,1.161088e-02,0.018368,-11.858440,22.9348,13.9869,1.6397,0.5521,0.4318
-11.863390,4.838967e-02,1.372180e-02,0.018579,-11.858440,21.0182,13.0864,1.6061,0.5521,0.4318
-11.871654,5.665365e-02,1.626418e-02,0.018807,-11.858440,20.0991,12.1739,1.6510,0.5521,0.4318
-11.881329,6.632896e-02,1.906308e-02,0.019127,-11.858440,18.4387,11.2978,1.6321,0.5521,0.4318
-11.892657,7.765661e-02,2.230278e-02,0.019505,-11.858440,17.3098,10.4381,1.6583,0.5521,0.4318
-11.905919,9.091880e-02,2.626755e-02,0.019930,-11.858440,15.4156,9.5683,1.6111,0.5521,0.4318
-11.921446,1.064459e-01,3.073061e-02,0.020489,-11.858440,15.3832,8.7392,1.7603,0.5521,0.4318
-11.939625,1.246247e-01,3.617694e-02,0.021097,-12.000000,12.5475,12.4674,1.0064,0.3859,0.4837
-11.960908,1.459081e-01,4.239090e-02,0.021883,-12.000000,11.5809,11.0994,1.0434,0.3859,0.4837
-11.985826,1.708263e-01,4.987218e-02,0.022792,-12.000000,10.3354,9.8210,1.0524,0.3859,0.4837
-12.015000,2.000000e-01,5.856635e-02,0.023939,-12.000000,9.1090,8.6604,1.0518,0.3859,0.4837
