seed,d,clam,mean_l,max_l,std_l,N
1,-12.8,1,2,2.09534736963,30,1.83228482098,34862
2,-12.8,2,2,2.12473031672,27,1.88382768812,34763
3,-12.8,3,2,2.10785439513,29,1.82407797668,34834
4,-12.8,4,2,2.10879463902,30,1.83307596861,34919
5,-12.8,5,2,2.11688199828,33,1.8761171302,34830
6,-12.8,6,2,2.11607836368,26,1.83968557627,34761
7,-12.8,7,2,2.12110915949,28,1.84684247161,34729
8,-12.8,8,2,2.10799587605,37,1.8598724676,34918
9,-12.8,9,2,2.10497443851,27,1.81477047545,34818
10,-12.8,10,2,2.1211011819,31,1.86498940196,34690
11,-12.8,11,2,2.11493392451,31,1.87640432941,34733
12,-12.8,12,2,2.11502974907,26,1.86763914243,34791
13,-12.8,13,2,2.1225684283,25,1.8563830172,34854
14,-12.8,14,2,2.1203074364,32,1.86304668934,34869
15,-12.8,15,2,2.13637547383,39,1.91187442607,34559
16,-12.8,16,2,2.12219076781,28,1.84964886088,34618
17,-12.8,17,2,2.13461649616,32,1.90247570327,34602
18,-12.8,18,2,2.12481576742,30,1.88616232602,34603
19,-12.8,19,2,2.10856945801,28,1.83179561063,34798
20,-12.8,20,2,2.13509532062,27,1.88245846961,34620
