seed,d,clam,mean_l,max_l,std_l,N
1,-11.8,1,2,28.3144570751,2567,37.1496551338,14339
2,-11.8,2,2,27.6814700302,1946,30.3917747912,14231
3,-11.8,3,2,28.1015673548,1407,31.9839271181,14483
4,-11.8,4,2,28.4691340383,1652,35.6348936623,13996
5,-11.8,5,2,27.9414281706,1609,36.1575498724,14256
6,-11.8,6,2,28.2359448295,1315,32.6302139049,14283
7,-11.8,7,2,27.872590109,1289,31.3448867954,14316
8,-11.8,8,2,28.4051633667,2936,44.5550973404,14293
9,-11.8,9,2,27.9510372285,911,28.5509347663,14317
10,-11.8,10,2,28.533559898,2106,36.3009298987,14124
11,-11.8,11,2,27.8707322161,1853,30.4789191913,14381
12,-11.8,12,2,28.3762668919,2689,37.6428720509,14208
13,-11.8,13,2,28.5583003953,1636,35.6146935658,14168
14,-11.8,14,2,28.415882228,2360,39.6287144808,14129
15,-11.8,15,2,27.9752871563,1364,35.6847123169,14365
16,-11.8,16,2,28.507204611,1426,34.4076505151,14227
17,-11.8,17,2,28.3274417295,1550,34.9511830693,14201
18,-11.8,18,2,28.2252793296,1124,30.6400590029,14320
19,-11.8,19,2,27.9039165573,1552,33.3032407892,14477
20,-11.8,20,2,28.3827828531,2147,46.2340967943,14230
